total offers,city
2985,Beograd
214,Niš
209,Novi Sad
147,Zlatibor
85,Sremska Kamenica
29,Zrenjanin
27,Stara Pazova
21,Pancevo
20,Petrovaradin
17,Srbija
14,Kragujevac
12,Sremski Karlovci
11,Arandjelovac
11,Beocin
10,Bar
10,Herceg Novi
10,None
9,Jagodina
9,Smederevo
8,Kruševac
8,Ruma
8,Obrenovac
8,Kraljevo
7,Budva
7,Veternik
7,Vrnjacka Banja
6,Indjija
6,Pecinci
6,Becej
5,Kovacica
5,Irig
5,Loznica
5,Tivat
5,Kopaonik
5,Lazarevac
5,Subotica
5,Paracin
4,Užice
4,Sremska Mitrovica
4,Beška
4,Cuprija
4,Kotor
4,Žabalj
4,Šabac
4,Kovin
4,Podgorica
4,Vrdnik
4,Vranje
3,Požarevac
3,Mladenovac (varoš)
3,Srbobran
3,Titel
3,Sopot
3,Valjevo
3,Velika Plana
3,Golubac
3,Kac
3,Vrbas
3,Divcibare
2,Sokobanja
2,Veliko Gradište
2,Futog
2,Dobanovci
2,Vladimirci
2,Trstenik
2,Bosna i Hercegovina
2,Požega
2,Ritopek
2,Cacak
2,Topola
2,Zajecar
2,Golubinje
2,Šid
2,Pirot
2,Alibunar
2,Backa Palanka
2,Smederevska Palanka
2,Kladovo
2,Apatin
2,Grocka
2,Selo Kostolac
2,Cortanovci
2,Leskovac
2,Ravno Selo
2,Belegiš
2,Palic
2,Topola (varošica)
2,Surduk
2,Vladicin Han
1,Perucac
1,Guncati
1,Ribnica
1,Melenci
1,Bukovac
1,Donje Vlase
1,Novi Banovci
1,Tara (planina)
1,
1,Rijeka Crnojevica
1,Ulcinj
1,Zelenika
1,Kozjak
1,Starcevo
1,Boljevci
1,Kušici
1,Koracica
1,Donji Milanovac
1,Višegrad
1,Supetar
1,Mali Zvornik
1,Žabari
1,Coka
1,Sveta Nedelja
1,Pržno
1,Bobovište
1,Cerevic
1,Niška Banja
1,Ralja
1,Banja Vrujci
1,Krašici
1,Jazak
1,Skupljen
1,Banatsko Novo Selo
1,Žabljak
1,Krcedin
1,Jarkovac
1,Lacarak
1,Nova Pazova
1,Sombor
1,Ladjevci
1,Rogaca
1,Sivac
1,Pliješevina
1,Krušedol Selo
1,Rumenka
1,Doroslovo
1,Vršac
1,Banatski Karlovac
1,Kikinda
1,Bac
1,Brus
1,Curug
1,Ub
1,Kanjiža
1,Bela Crkva
1,Plandište
1,Bogutovac
1,Cenej
1,Rakovac
1,Selevac
1,Stari Banovci
1,Aleksandrovo
1,Vojka
1,Trbušac
1,Dobra Voda
1,Backi Petrovac
1,Kljajicevo
1,Dolovo
1,Danilovgrad
1,Katun Reževici
1,Mišicevo
1,Prijepolje
1,Kula
1,Žitkovac
1,Bavanište
1,Azanja
1,Ecka
1,Ljubinic
1,Donja Raca
1,Botoš
1,Lešnica
1,Osipaonica
1,Mali Požarevac
1,Vlaška
1,Varvarin
1,Gornja Trepca
1,Virpazar
1,Meljak
1,Novi Karlovci
1,Jabuka
1,Krcevac
1,Krivi Vir
