id,type,sell_or_rent,size,price,city,part_of_city,land_size,floor,total_floors,num_of_rooms,num_of_bathrooms,is_registered,parking,elevator,balcony,heating_type,year_built,construction_type,url
30489,1,1,1000,5000000.0,Budva,,2500,,,,,1,1,0,1,,2018,Završena izgradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/villa-sa-zavrsenim-grubim-radovima-locirana-na-svetom-stefanu-miloceru-najelitnijem-mjestu-u-cg/Nkcx6SbPD5w/
30593,1,1,875,4500000.0,Beograd,Savski venac,18,,1,5,,1,1,0,1,,,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/dve-lux-kuce-bazen-parking-18ari-dedinje/NkdCEH49fQj/
31310,1,1,502,1450000.0,Beograd,Dedinje (Beli dvor),,,,,,1,1,0,1,Plinska pec,,,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje/NkDU04O0buN/
24875,1,1,557,1445000.0,Beograd,Vracar (Centar),,7,,8,1,0,0,0,1,Centralno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/hadzi-prodanova-krunska-id35326/NkltDSWnXEe/
22892,1,1,162,1359890.0,Beograd,Beograd na vodi,,14,,4,,0,1,1,0,Centralno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/162m2-beograd-na-vodi-stan/Nk6bP8XfRV3/
11967,1,1,162,1359890.0,Beograd,Beograd na vodi,,14,,4,,0,1,1,0,Centralno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/162m2-beograd-na-vodi-stan/Nk6bP8XfRV3/
11966,1,1,162,1359890.0,Beograd,Beograd na vodi,,14,,4,,0,1,1,0,Centralno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/162m2-beograd-na-vodi-stan/NksdnEZBKeY/
22891,1,1,162,1359890.0,Beograd,Beograd na vodi,,14,,4,,0,1,1,0,Centralno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/162m2-beograd-na-vodi-stan/NksdnEZBKeY/
22896,1,1,156,1312890.0,Beograd,Beograd na vodi,,16,,4,,0,1,1,0,Centralno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/156m2-beograd-na-vodi-stan/NkgTmH2bJiE/
11971,1,1,156,1312890.0,Beograd,Beograd na vodi,,16,,4,,0,1,1,0,Centralno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/156m2-beograd-na-vodi-stan/NkgTmH2bJiE/
