id,type,sell_or_rent,size,price,city,part_of_city,land_size,floor,total_floors,num_of_rooms,num_of_bathrooms,is_registered,parking,elevator,balcony,heating_type,year_built,construction_type,url
5196,0,1,1290,5500000.0,Beograd,Dedinje (RTV Pink),24300,,,10,8,1,,1,1,"Etažno, Kamin",,,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-kod-uzicke-luksuzna-vila-prodaja/NkSgi0EVngj/
6152,0,1,1000,5200000.0,Beograd,Dedinje (RTV Pink),,0,,10,1,1,,0,1,"Klima, Etažno",,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-vila-1000m2-uknjizen-id1876/Nk3TNRrS6cl/
6732,0,1,418,4888020.0,Sremska Kamenica,Popovica,74000,,1,5,3,1,,0,1,Etažno,2015,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/extra-luksuzna-kuca-0631836-766-nikola/NkjTbo2DEwn/
6032,0,1,1150,4650000.0,Beograd,Topcider,,,,6,5,1,,0,1,Etažno,2008,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/60-dedinje-kod-uzicke-raskosna-luskuzna-vila-rezidencijalna-zona-27ari-id1563/NkujiBOsxFK/
6962,0,1,1150,4500000.0,Beograd,Dedinje (Beli dvor),,,,,,1,,0,0,Ostalo,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/1150m2-kuca-dedinje/NkDEDiRgN8W/
6236,0,1,850,4500000.0,Beograd,Dedinje (25. maj),,0,,1,1,1,,0,1,Etažno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-dedinje-uzicka-id1014/NkNwRMU3Roz/
5283,0,1,1338,4000000.0,Beograd,Dedinje (25. maj),1019,,5,20,,0,,0,1,,,,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-vila-uzicka-ulica/NkFVbUlkq1k/
6242,0,1,800,3990000.0,Beograd,Dedinje (25. maj),,0,,1,1,0,,0,1,TA pec,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-dedinje-uzicka-id1081/NkL3q2v_-P8/
6033,0,1,900,3900000.0,Beograd,Topcider,,,,6,6,1,,0,1,Etažno,2006,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/60-kuca-dedinje-ultra-luksuzna-moderna-vila-top-ponuda-id1546/NkJHLMCA3ZUK/
6034,0,1,620,3800000.0,Beograd,Senjak,,,,10,6,1,,1,0,Etažno,2008,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/7-0-kuca-savski-venac-senjak-top-lokacija-ekskluzivna-ponuda-id1619/Nk2Wy5DNZOD/
5303,0,1,1040,3700000.0,Beograd,Dedinje (RTV Pink),,,,5,,1,,0,1,,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/savski-venac-dedinje-serdar-jola-50-1040m2-3700000eur/Nk-PiEFqiKN/
5662,0,1,815,3500000.0,Beograd,Kalenic pijaca,,,,10,4,1,,1,0,"Klima, Centralno",,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/kneginje-zorke-kod-krunske-ulice-id27527/NkPNlhYsLxM/
6293,0,1,830,3100000.0,Beograd,Senjak,,0,,10,1,1,,0,1,Klima,,Izvorno stanje,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-senjak-id2438/NktD-5ZRGFi/
5561,0,1,850,3000000.0,Beograd,Senjak,,,,6,4,1,,0,1,"Klima, Etažno",,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/luksuzna-vanserijska-kuca-na-15ari-placa-id89993/Nkt3SCepBfm/
6044,0,1,1264,2800000.0,Budva,,,,,8,8,1,,0,0,Etažno,1981,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-crna-gora-budva-luksuzna-vila-ekskluzivna-lokacija-id1681/NkBMH25gocS/
6046,0,1,600,2750000.0,Beograd,Senjak,,,,6,7,1,,0,1,"Klima, Etažno",2003,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/senjak-rezidencijalna-zona-autenticna-ultra-luksuzna-vila-id1748/NkqCX4TYYgA/
5990,0,1,600,2750000.0,Beograd,Senjak,,,,7,3,1,,,,Etažno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/senjak-sanje-zivanovic-600m210-ari-id2830/NkFvM6RxwUy/
5607,0,1,650,2500000.0,Beograd,Senjak,,,,5,1,0,,,,,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/moderna-vila-u-rezidencijalnoj-zoni-id105997/NklwZf3K6NQ/
6806,0,1,285,2500000.0,Beograd,Dedinje (Beli dvor),,,,,,1,,0,0,Ostalo,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/savski-venac-dedinje-teodora-drajzera-285m2--1647a-teodora-drajzera/Nknty6lr-aR/
5646,0,1,420,2500000.0,Beograd,Dedinje (25. maj),,,,10,1,1,,,,Etažno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/lux-vila-na-dedinju-id111133/NkYNRly81zq/
6156,0,1,550,2500000.0,Beograd,Senjak,,0,,5,,0,,0,1,Ostalo,2013,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/550m2-t-senjak-kuca/NkvlnLgae34/
6026,0,1,810,2500000.0,Beograd,Topcider,,,,10,9,1,,0,1,"Klima, Etažno",2014,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-luksuzna-vila-top-ponuda-id1427/Nk2MRizp89t/
5463,0,1,600,2490000.0,Beograd,Dedinje (RTV Pink),,0,,10,4,1,,0,1,"Klima, Etažno",2004,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/diplomatska-kolonija-kuca-460240m2-id1410/NkiT7TALmkg/
6031,0,1,830,2100000.0,Beograd,Senjak,,,,9,6,1,,0,1,"Klima, Etažno",,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/savski-venac-senjak-ekskluzivna-luksuzna-vila-rezidencijalna-zona-id1528/NkjK-smDlQ-/
6547,0,1,726,2100000.0,Beograd,Avala,,0,,7,,1,,0,1,Ostalo,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/726m2-4t-avala-kuca/NkZXzjQNuaz/
5355,0,1,400,2000000.0,Beograd,Dedinje (Beli dvor),,,,8,,1,,0,1,Etažno,1960,Izvorno stanje,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-kuca-400-m2-9-ari-id1867/NkFovtRA9Wn/
5617,0,1,350,2000000.0,Beograd,Dedinje (25. maj),,,,10,1,1,,,,Etažno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/lux-kuca-na-dedinju-id107571/NkfiAcs8LZC/
6148,0,1,400,2000000.0,Beograd,Dedinje (Beli dvor),,0,,7,3,1,,0,1,Etažno,1960,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-beli-dvor-400m2-iv-etaze-eg-9ari-uk-id72858/Nksh16M41cX/
6121,0,1,400,2000000.0,Beograd,Dedinje (RTV Pink),,,,14,,1,,0,1,Klima,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/savski-venac-dedinje-140-400m2-2000000eur/NkXuv3t9GQd/
