id,type,sell_or_rent,size,price,city,part_of_city,land_size,floor,total_floors,num_of_rooms,num_of_bathrooms,is_registered,parking,elevator,balcony,heating_type,year_built,construction_type,url
6778,1,1,1400,35000.0,Bac,,1400,,,7,,1,,0,1,Centralno,,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/stambeno-poslovni-prostor-na-prodaju/NkQEjuvZ3IY/
7590,1,0,1080,4100.0,Beograd,Borca I,,0,,1,,0,,,,,2020,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/borca-zrenjaninski-put-1080m2-pr/NkRnpe6mNub/
8090,1,0,1080,4100.0,Beograd,Borca I,,0,,1,,0,0,,,,2020,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/borca-zrenjaninski-put-1080m2-pr/NkRnpe6mNub/
7622,1,0,1000,4000.0,Pecinci,,,0,,1,,0,,,,Ostalo,2020,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/simanovci-1000m2/NkeQHoKrV_L/
6597,1,1,1000,270000.0,Beograd,Sopot,20,,,,,0,,,,,,,https://www.nekretnine.rs/stambeni-objekti/kuce/poslovno-stambeni-prostor/NkQrKcEtd5u/
6143,1,1,1000,5500000.0,Budva,,2500,,,,,1,,0,1,,2018,Završena izgradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/villa-sa-zavrsenim-grubim-radovima-locirana-na-svetom-stefanu-miloceru-najelitnijem-mjestu-u-cg/Nkcx6SbPD5w/
8122,1,0,1000,4000.0,Pecinci,,,0,,1,,0,0,,,Ostalo,2020,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/simanovci-1000m2/NkeQHoKrV_L/
5710,1,0,900,,Beograd,Zemun (Kalvarija),,,2,26,6,0,,0,1,Plinska pec,2009,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/izdavanjeprodaja-kuca-beograd-zemun-kalvarija-2800-eur/NkDOKSj0TrS/
6565,1,1,875,4500000.0,Beograd,Savski venac,18,,1,5,,1,,0,1,,,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/dve-lux-kuce-bazen-parking-18ari-dedinje/NkdCEH49fQj/
6144,1,1,614,150000.0,Zajecar,Podliv,1000,,1,5,3,1,,0,1,Etažno,,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/stambeno-poslovni-objekat-u-zajecaru/NkmWAVhrB7C/
6953,1,1,550,195000.0,Niš,Durlan,400,,4,20,4,1,,0,1,"TA pec, Etažno, Ostalo",1980,Izvorno stanje,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-durlanu/Nkt9yotnWXm/
450,1,1,500,1250000.0,Beograd,Dedinje (Beli dvor),,,4,5,3,1,,0,1,TA pec,,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/luksuzna-kuca-sa-bazenom-slavka-curuvije-dedinje-500m2/NksucbOgTVS/
