id,type,sell_or_rent,size,price,city,part_of_city,land_size,floor,total_floors,num_of_rooms,num_of_bathrooms,is_registered,parking,elevator,balcony,heating_type,year_built,construction_type,url
445,0,1,500,1000000.0,Niš,Centar,,3,,16,7,1,,,,Centralno,2021,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/medijana-nis-stambeno-poslovni-objekat-500/NkgSdUg33ei/
6824,0,1,262,550000.0,Sremska Kamenica,Bocke,111600,,,,,1,,,,Podno,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/lux-lux-lux-pogledajte-slike-rijetko-u-ponudi/NkFv__O0pir/
399,1,1,85,307888.0,Beograd,Beograd na vodi,,16,19,3,2,0,,1,1,,2021,U izgradnji,https://www.nekretnine.rs/stambeni-objekti/stanovi/pogled-na-usce-dve-reke-metropolitan-na-16-spratu-jedini-dostupan-sa-ovakvom-pozicijom-2-terase/NkDa-4mmNkL/
8249,1,1,85,307888.0,Beograd,Beograd na vodi,,16,19,3,2,0,0,1,1,,2021,U izgradnji,https://www.nekretnine.rs/stambeni-objekti/stanovi/pogled-na-usce-dve-reke-metropolitan-na-16-spratu-jedini-dostupan-sa-ovakvom-pozicijom-2-terase/NkDa-4mmNkL/
8365,1,1,92,295000.0,Beograd,Beograd na vodi,,3,23,3,2,0,1,1,1,Centralno,2021,U izgradnji,https://www.nekretnine.rs/stambeni-objekti/stanovi/bw-arcadia-pogled-na-reku-i-kulu-uskoro-useljiv/NkxW4fzaz8z/
8870,1,1,92,295000.0,Beograd,Beograd na vodi,,3,23,3,2,0,1,1,1,Centralno,2021,U izgradnji,https://www.nekretnine.rs/stambeni-objekti/stanovi/bw-arcadia-pogled-na-reku-i-kulu-uskoro-useljiv/NkxW4fzaz8z/
6435,0,1,240,260000.0,Zlatibor,Palisad,,0,,10,1,0,,0,1,"Klima, Etažno",2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/zlatibor-palisad-859-id859/NksO7W7l1uW/
9211,1,1,94,230000.0,Beograd,Voždovac,,3,4,3,2,1,1,1,1,Etažno,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/jove-ilica-lux-novogradnja-trosoban/NkVxVwZtuPK/
400,1,1,55,218350.0,Beograd,Vracar (Hram),,5,7,2,1,1,,1,1,,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzna-novogradnja-55-m2--smart-home-sistem-/Nk7YVAligNW/
8250,1,1,55,218350.0,Beograd,Vracar (Hram),,5,7,2,1,1,1,1,1,,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzna-novogradnja-55-m2--smart-home-sistem-/Nk7YVAligNW/
8349,1,1,84,183700.0,Beograd,Trošarina,,2,,3,,0,1,1,1,Ostalo,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/prodaje-se-trosoban-stan-od-84m2-na-trosarini/Nk7hUwB_jJv/
8854,1,1,84,183700.0,Beograd,Trošarina,,2,,3,,0,1,1,1,Ostalo,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/prodaje-se-trosoban-stan-od-84m2-na-trosarini/Nk7hUwB_jJv/
8666,1,1,90,180000.0,Beograd,Južni bulevar,,4,9,4,2,0,1,1,1,Etažno,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/objekat-u-izgradnji-cena-2000evram2-plus-pdv/Nk-QQkZt6Hg/
9154,1,1,90,180000.0,Beograd,Južni bulevar,,4,9,4,2,0,1,1,1,Etažno,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/objekat-u-izgradnji-cena-2000evram2-plus-pdv/Nk-QQkZt6Hg/
8371,1,1,70,166000.0,Beograd,Banovo brdo,,4,5,3,2,0,1,1,1,Etažno,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/banovo-brdo-cena-2360evram2-plus-pdv/NkQXDTOx0zV/
8875,1,1,70,166000.0,Beograd,Banovo brdo,,4,5,3,2,0,1,1,1,Etažno,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/banovo-brdo-cena-2360evram2-plus-pdv/NkQXDTOx0zV/
438,0,1,150,155000.0,Zlatibor,Centar,,,,3,2,0,,,,Ostalo,2021,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/u-ponudi-lux-kuca-na-zlatiboru-150-m2-155000-eura/NkU-KJcO0KX/
8539,1,1,85,153000.0,Beograd,Zemun (Save Kovacevica),,1,,4,1,0,0,0,1,Etažno,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/nov-luks-troiposoban-kod-doma-zdravlja-u-zemunu-id7088/Nkk_8p4NFwJ/
9033,1,1,85,153000.0,Beograd,Zemun (Save Kovacevica),,1,,4,1,0,0,0,1,Etažno,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/nov-luks-troiposoban-kod-doma-zdravlja-u-zemunu-id7088/Nkk_8p4NFwJ/
8664,1,1,92,152000.0,Beograd,Vidikovac,,3,7,4,2,0,1,1,0,Etažno,2021,U pripremi,https://www.nekretnine.rs/stambeni-objekti/stanovi/vidikovac-cetvorosoban-stan-u-izgradnji-od-1650evram2-plus-pdv/NkaqXfU22oX/
9152,1,1,92,152000.0,Beograd,Vidikovac,,3,7,4,2,0,1,1,0,Etažno,2021,U pripremi,https://www.nekretnine.rs/stambeni-objekti/stanovi/vidikovac-cetvorosoban-stan-u-izgradnji-od-1650evram2-plus-pdv/NkaqXfU22oX/
437,0,1,125,150000.0,Zlatibor,Centar,,,,3,2,0,,,,Ostalo,2021,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/u-ponudi-lux-kuca-na-zlatiboru-125-m2-150000-eura/NkQBUSAqKBo/
9213,1,1,68,136000.0,Niš,Centar,,,,,,0,1,1,1,"Klima, Etažno, Podno",2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/exkluzivna-novogradnja-u-centru-dom-zdravlja/Nk2_1JCvFVz/
8314,1,1,76,135000.0,Zlatibor,Centar,,2,,3,2,0,0,,,Ostalo,2021,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-zlatibor-lux-apartmani-76-m2-135000-eura-pdv/NkEzDbjgjVI/
8821,1,1,76,135000.0,Zlatibor,Centar,,2,,3,2,0,0,,,Ostalo,2021,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-zlatibor-lux-apartmani-76-m2-135000-eura-pdv/NkEzDbjgjVI/
8636,1,1,61,126189.0,Beograd,Bulevar Kr. Aleksandra,,4,5,3,1,1,1,1,1,Etažno,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/direktna-prodaja-stanova-na-bulevaru-kralja-aleksandrabez-provizijelux-gradnja-povrat-pdv-a/NkOuNklLT0e/
9124,1,1,61,126189.0,Beograd,Bulevar Kr. Aleksandra,,4,5,3,1,1,1,1,1,Etažno,2021,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/direktna-prodaja-stanova-na-bulevaru-kralja-aleksandrabez-provizijelux-gradnja-povrat-pdv-a/NkOuNklLT0e/
8316,1,1,41,124800.0,Zlatibor,Centar,,,,2,1,0,0,,,,2021,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/apartmani-u-prestiznom-hotelu-u-centru-zlatibora/Nkev5bl_sV4/
8823,1,1,41,124800.0,Zlatibor,Centar,,,,2,1,0,0,,,,2021,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/apartmani-u-prestiznom-hotelu-u-centru-zlatibora/Nkev5bl_sV4/
8548,1,1,62,124000.0,Beograd,Južni bulevar,,3,8,3,1,0,1,1,1,"Etažno, Klima",2021,U izgradnji,https://www.nekretnine.rs/stambeni-objekti/stanovi/juzni-bulevar-objekat-u-izgradnji-cena-2000-evram2-plus-pdv/Nk4wcvRMGX4/
