id,type,sell_or_rent,size,price,city,part_of_city,land_size,floor,total_floors,num_of_rooms,num_of_bathrooms,is_registered,parking,elevator,balcony,heating_type,year_built,construction_type,url
31152,0,1,83,65000.0,Beograd,Sopot,3265300,,,4,1,1,1,0,1,TA pec,1896,Izvorno stanje,https://www.nekretnine.rs/stambeni-objekti/kuce/stojnik-kod-sopota-83m2-na-327-ari/NktlMuKX1cQ/
30885,0,1,162,250000.0,Beograd,Barajevo,1512200,,2,4,2,1,1,0,1,"Etažno, Kamin",,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/barajevo-stara-lipovica-kuca-za-zivot-i-uzivanje/Nkk16zFYYAx/
30254,0,1,241,242050.0,Subotica,Zorka,742300,,1,4,2,1,1,0,1,Etažno,,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/ekstra-ponuda-kontakt-jasmina/Nkql3ra3q7x/
30707,0,1,270,1287500.0,Sremska Kamenica,Centar,380000,,,,,1,1,0,1,,,,https://www.nekretnine.rs/stambeni-objekti/kuce/fantasticna-kuca-top-ponuda-kontakt-ranko/NkI94N5q1B_/
30262,0,1,119,20600.0,Cortanovci,,334400,,1,3,1,1,0,0,0,Pec,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/cortanovci-kuca/Nk0kZudr33_/
30229,0,1,450,164800.0,Zmajevo,,284300,,,,7,1,1,0,1,,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-bez-ulaganja-tri-stambene-jedinice-tri-garaze-bazen-zmajevo021425-112/NkBOwWPXwa0/
30632,0,1,65,46350.0,Cortanovci,,270000,,,3,1,1,1,0,1,Etažno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/odlicna-prica-/Nk5pZWEZ9ER/
30646,0,1,145,113300.0,Ravno Selo,,260000,,,,,1,1,0,1,"Etažno, Podno, Centralno",,,https://www.nekretnine.rs/stambeni-objekti/kuce/raj-na-zemlji-kontakt-ranko/NkPf7XwA85e/
30306,0,1,161,30000.0,Mramorak,,248600,,,5,2,1,1,0,0,"Centralno, Etažno",1970,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-mramorku-161m2-plac-2486ari-30000e/Nk5EGkkwkAb/
30692,0,1,217,164800.0,Rumenka,,248200,,,5,2,1,0,0,1,,,,https://www.nekretnine.rs/stambeni-objekti/kuce/rumenka-odlicna-kuca/Nk68--GFShW/
31048,0,1,32,20000.0,Beograd,Avala,244300,,,2,1,1,0,0,0,,,Namenjeno rušenju,https://www.nekretnine.rs/stambeni-objekti/kuce/avala-prnjavor-32m2-na-24-5-ara/NkyzbSxvinQ/
30400,0,1,117,133900.0,Petrovaradin,Novi majur,216200,,,,,0,1,0,1,,,,https://www.nekretnine.rs/stambeni-objekti/kuce/odlicna-kuca-u-petrovaradinu-/Nkd2yXhVz8v/
31153,0,1,110,28000.0,Beograd,Sopot,200000,,1,4,2,0,1,0,1,"Pec, TA pec",,Izvorno stanje,https://www.nekretnine.rs/stambeni-objekti/kuce/babe-110m2-na-20-ari/NkOz6hG8Q8x/
31092,0,1,200,35000.0,Beograd,Sopot,190000,,1,6,3,1,1,0,0,TA pec,,Izvorno stanje,https://www.nekretnine.rs/stambeni-objekti/kuce/sibnica-kod-sopota-200m2-na-19-ari/NkcOXD2H2x8/
30236,0,1,77,45320.0,Irig,,182700,,,3,1,1,1,0,0,Ostalo,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/renovirana-kuca-u-irigu/NkZTSCvNCDF/
30472,0,1,350,257500.0,Sremska Kamenica,Paragovo,178100,,1,6,2,1,1,0,1,Etažno,,,https://www.nekretnine.rs/stambeni-objekti/kuce/odlicna-kuca-u-paragovu/NkXnvDepSi4/
30407,0,1,194,118450.0,Sremska Kamenica,Popovica,175300,,2,5,3,1,1,0,1,Etažno,2000,,https://www.nekretnine.rs/stambeni-objekti/kuce/odlicna-uknjizena-kuca-sa-bazenom/NkVMegPR19m/
