id,type,sell_or_rent,size,price,city,part_of_city,land_size,floor,total_floors,num_of_rooms,num_of_bathrooms,is_registered,parking,elevator,balcony,heating_type,year_built,construction_type,url
24333,1,1,123190,92.0,Novi Sad,Detelinara nova,,1,4,3,2,1,1,1,1,Centralno,2008,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/trosoban-komforan-stan-u-zgradi-izuzetnog-kvaliteta/Nku9a8gQWPw/
28215,1,1,1643,298000.0,Beograd,Lekino brdo,,5,,5,1,1,0,1,1,Centralno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/veljka-milicevica-lekino-brdo-id40834/Nk2nKfC6j_1/
25787,1,1,1270,700000.0,Beograd,Barajevo,,0,,,1,0,1,0,0,,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/radovana-marinkovica-siljakovac-id39870/NkLA38Ocus3/
11574,1,1,1200,1000000.0,Beograd,Voždovac,,,,20,,0,1,0,0,Etažno,1997,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-medakovic-mokroluska-200-1200m2-1000000eur/NkkYh77bv00/
11576,1,1,1200,1000000.0,Beograd,Voždovac,,,,20,,0,1,0,0,Etažno,1997,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-medakovic-mokroluska-200-1200m2-1000000eur/NkkYh77bv00/
22502,1,1,1200,1000000.0,Beograd,Voždovac,,,,20,,0,1,0,0,Etažno,1997,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-medakovic-mokroluska-200-1200m2-1000000eur/NkkYh77bv00/
30489,1,1,1000,5000000.0,Budva,,2500,,,,,1,1,0,1,,2018,Završena izgradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/villa-sa-zavrsenim-grubim-radovima-locirana-na-svetom-stefanu-miloceru-najelitnijem-mjestu-u-cg/Nkcx6SbPD5w/
32546,1,1,959,700000.0,Beograd,Jajinci,,3,,9,,1,1,0,1,"Klima, Centralno",2002,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/jajinci-prodaja-kuce-sa-bazenom/NkvnKOOJSxK/
30593,1,1,875,4500000.0,Beograd,Savski venac,18,,1,5,,1,1,0,1,,,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/dve-lux-kuce-bazen-parking-18ari-dedinje/NkdCEH49fQj/
16027,1,0,782,500.0,Beograd,Senjak,,0,3,3,1,1,1,0,0,Etažno,,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/senjak-majdan-izdajem-vrhunski-poslovni-funkcionalan-nov-prostor-od-7844m2-u-polusuterenu-u-de-lux-modernoj-novoj-zgradi/Nk-QwcWYjcv/
