id,type,sell_or_rent,size,price,city,part_of_city,land_size,floor,total_floors,num_of_rooms,num_of_bathrooms,is_registered,parking,elevator,balcony,heating_type,year_built,construction_type,url
10386,1,1,25,35000.0,Kopaonik,,,3,7,112,1,1,1,1,1,TA pec,2020,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/kopaonik-apartmani-milmari-n/NkolurnRj-8/
21249,1,1,25,35000.0,Kopaonik,,,3,7,112,1,1,1,1,1,TA pec,2020,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/kopaonik-apartmani-milmari-n/NkolurnRj-8/
31894,0,1,3074,15000000.0,Beograd,Dedinje (RTV Pink),,3,,30,30,0,1,0,1,"Klima, Ostalo",,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/41469-prodaja-kuca-dedinje-15000000-eur/NkvWLjxjLVT/
30981,0,0,900,6000.0,Beograd,Grocka,,2,,30,25,1,0,0,1,,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/izdavanje-kuca-za-staracki-dom-1000-m2-vrcin-id3075/NkWJ0wsMMJo/
17249,1,0,42,280.0,Novi Sad,Detelinara nova,,4,,26,1,1,1,1,1,Etažno,,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-novog-stana/NkDG7jL-5u9/
31757,0,0,650,9000.0,Beograd,Centar (uži),,-1,,21,10,0,1,0,1,Centralno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/25630-izdavanje-kuca-dorcol-9000-eur/NkclY63vDj8/
22502,1,1,1200,1000000.0,Beograd,Voždovac,,,,20,,0,1,0,0,Etažno,1997,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-medakovic-mokroluska-200-1200m2-1000000eur/NkkYh77bv00/
30760,1,1,550,195000.0,Niš,Durlan,400,,4,20,4,1,1,0,1,"TA pec, Etažno, Ostalo",1980,Izvorno stanje,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-durlanu/Nkt9yotnWXm/
12357,0,1,700,160000.0,Beograd,Borca III,,,,20,,0,1,0,1,,2016,U izgradnji,https://www.nekretnine.rs/stambeni-objekti/kuce/palilula-borca-popova-bara-nova-3-200-700m2-160000eur/NkJR6icSVD_/
31703,0,0,1154,15000.0,Beograd,Dedinje (RTV Pink),,-1,,20,13,0,1,0,1,"Klima, Ostalo",,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/20830-izdavanje-kuca-dedinje-15000-eur/NkWm9nR0t2s/
32844,0,0,1600,7000.0,Beograd,Zemun (Centar),,-1,,20,10,0,1,0,1,"Klima, Ostalo",,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/29667-izdavanje-kuca-altina-7000-eur/1867666/
28877,0,1,700,160000.0,Beograd,Borca III,,,,20,,0,1,0,1,,2016,U izgradnji,https://www.nekretnine.rs/stambeni-objekti/kuce/palilula-borca-popova-bara-nova-3-200-700m2-160000eur/NkJR6icSVD_/
30410,0,1,1338,4000000.0,Beograd,Dedinje (25. maj),1019,,5,20,,0,1,0,1,,,,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-vila-uzicka-ulica/NkFVbUlkq1k/
11574,1,1,1200,1000000.0,Beograd,Voždovac,,,,20,,0,1,0,0,Etažno,1997,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-medakovic-mokroluska-200-1200m2-1000000eur/NkkYh77bv00/
11576,1,1,1200,1000000.0,Beograd,Voždovac,,,,20,,0,1,0,0,Etažno,1997,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-medakovic-mokroluska-200-1200m2-1000000eur/NkkYh77bv00/
32835,0,1,800,4500000.0,Beograd,Dedinje (RTV Pink),,-1,,20,2,0,1,0,1,"Klima, Ostalo",,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/38983-prodaja-kuca-dedinje-4500000-eur/1867932/
30700,0,0,900,3000.0,Beograd,Zemun (Kalvarija),,2,,18,6,0,1,0,1,Ostalo,2020,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-za-izdavanje-zemun-kalvarija-900m2-id-3144/NkPvmNZMJVH/
31851,0,0,1154,15000.0,Beograd,Dedinje (RTV Pink),,2,,18,16,1,1,0,1,"Klima, Centralno",,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-lux-kuca-izdavanje/Nk8cqcsJb9jh/
32849,0,0,900,3000.0,Beograd,Zemun (Gornji grad),,-1,,18,6,0,1,0,1,Ostalo,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/36290-izdavanje-kuca-zemun-kalvarija-3000-eur/1867753/
31319,0,0,1154,15002.0,Beograd,Dedinje (Beli dvor),,,2,17,,1,1,1,1,Klima,,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/diplomatska-kolonija-1154m2-4-garazna-mesta-parking-id-6002-1/NkXmcNlnb0Z/
